,0
JD,2459801
Date,8-9-2022
LST Range,17.149 -- 19.149 hours
X-Engine Status,✅ ✅ ✅ ✅ ✅ ✅ ✅ ✅ 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3<br>RF_maintenance: 32<br>RF_ok: 11<br>digital_maintenance: 3<br>digital_ok: 95<br>not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,108 / 147 (73.5%)
Total Number of Nodes,15
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,❌
Auto Metrics Done?,✅
Auto Metrics Flagged Antennas,108 / 147 (73.5%)
Redcal Done?,❌
Never Flagged Antennas,39 / 147 (26.5%)
A Priori Good Antennas Flagged,"58 / 95 total a priori good antennas:<br>5, 7, 16, 19, 30, 37, 38, 45, 53, 54, 55, 65,<br>66, 67, 69, 72, 73, 83, 84, 88, 91, 93, 94,<br>98, 99, 101, 103, 105, 106, 107, 108, 111,<br>117, 121, 122, 123, 130, 140, 141, 142, 156,<br>160, 161, 162, 165, 167, 169, 170, 177, 179,<br>181, 183, 185, 186, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"2 / 52 total a priori bad antennas:<br>4, 135"
